Bila Tserkva Raion	Kyiv Oblast	Bila Tserkva
Brovary Raion	Kyiv Oblast	Brovary
Boryspil Raion	Kyiv Oblast	Boryspil
Fastiv Raion	Kyiv Oblast	Fastiv
Bucha Raion	Kyiv Oblast	Bucha
Obukhiv Raion	Kyiv Oblast	Obukhiv
Vyshhorod Raion	Kyiv Oblast	Vyshhorod
Luhansk Raion	Luhansk Oblast	Luhansk
Alchevsk Raion	Luhansk Oblast	Alchevsk
Siverskodonetsk Raion	Luhansk Oblast	Siverskodonetsk
Dovzhansk Raion	Luhansk Oblast	Dovzhansk
Rovenky Raion	Luhansk Oblast	Rovenky
Svatove Raion	Luhansk Oblast	Svatove
Starobilsk Raion	Luhansk Oblast	Starobilsk
Shchastia Raion	Luhansk Oblast	Novoaidar
Lviv Raion	Lviv Oblast	Lviv
Drohobych Raion	Lviv Oblast	Drohobych
Sheptytskyi Raion	Lviv Oblast	Sheptytskyi
Stryi Raion	Lviv Oblast	Stryi
Sambir Raion	Lviv Oblast	Sambir
Zolochiv Raion	Lviv Oblast	Zolochiv
Yavoriv Raion	Lviv Oblast	Yavoriv
Mykolaiv Raion	Mykolaiv Oblast	Mykolaiv
Pervomaisk Raion	Mykolaiv Oblast	Pervomaisk
Voznesensk Raion	Mykolaiv Oblast	Voznesensk
Bashtanka Raion	Mykolaiv Oblast	Bashtanka
Odesa Raion	Odesa Oblast	Odesa
Izmail Raion	Odesa Oblast	Izmail
Bilhorod-Dnistrovskyi Raion	Odesa Oblast	Bilhorod-Dnistrovskyi
Podilsk Raion	Odesa Oblast	Podilsk
Rozdilna Raion	Odesa Oblast	Rozdilna
Bolhrad Raion	Odesa Oblast	Bolhrad
Berezivka Raion	Odesa Oblast	Berezivka
Poltava Raion	Poltava Oblast	Poltava
Kremenchuk Raion	Poltava Oblast	Kremenchuk
Lubny Raion	Poltava Oblast	Lubny
Myrhorod Raion	Poltava Oblast	Myrhorod
Rivne Raion	Rivne Oblast	Rivne
Varash Raion	Rivne Oblast	Varash
Dubno Raion	Rivne Oblast	Dubno
Sarny Raion	Rivne Oblast	Sarny
Sumy Raion	Sumy Oblast	Sumy
Konotop Raion	Sumy Oblast	Konotop
Shostka Raion	Sumy Oblast	Shostka
Okhtyrka Raion	Sumy Oblast	Okhtyrka
Romny Raion	Sumy Oblast	Romny
Ternopil Raion	Ternopil Oblast	Ternopil
Chortkiv Raion	Ternopil Oblast	Chortkiv
Kremenets Raion	Ternopil Oblast	Kremenets
Vinnytsia Raion	Vinnytsia Oblast	Vinnytsia
Zhmerynka Raion	Vinnytsia Oblast	Zhmerynka
Mohyliv-Podilskyi Raion	Vinnytsia Oblast	Mohyliv-Podilskyi
Khmilnyk Raion	Vinnytsia Oblast	Khmilnyk
Haisyn Raion	Vinnytsia Oblast	Haisyn
Tulchyn Raion	Vinnytsia Oblast	Tulchyn
Lutsk Raion	Volyn Oblast	Lutsk
Kovel Raion	Volyn Oblast	Kovel
Volodymyr Raion	Volyn Oblast	Volodymyr
Kamin-Kashyrskyi Raion	Volyn Oblast	Kamin-Kashyrskyi
Uzhhorod Raion	Zakarpattia Oblast	Uzhhorod
Mukachevo Raion	Zakarpattia Oblast	Mukachevo
Khust Raion	Zakarpattia Oblast	Khust
Berehove Raion	Zakarpattia Oblast	Berehove
Rakhiv Raion	Zakarpattia Oblast	Rakhiv
Tiachiv Raion	Zakarpattia Oblast	Tiachiv
